id,from_account,to_account,amount,currency_code,executed_at,status
355,14,4,573.92,AUD,2026-01-12T09:38:00,COMPLETED
638,14,18,15686.58,SGD,2026-01-10T13:35:00,COMPLETED
508,13,2,3300.0,JPY,2026-01-10T11:43:00,COMPLETED
971,4,6,16703.11,CAD,2026-01-11T11:32:00,COMPLETED
329,16,15,2017.23,SGD,2026-01-11T11:23:00,COMPLETED
738,13,15,15069.16,EUR,2026-01-10T14:18:00,COMPLETED
389,14,16,8341.83,SGD,2026-01-11T10:05:00,COMPLETED
277,19,8,14441.93,SGD,2026-01-10T16:40:00,FAILED
771,2,8,10398.12,CAD,2026-01-12T08:35:00,COMPLETED
973,5,16,15257.36,CHF,2026-01-12T08:05:00,COMPLETED
520,12,9,11732.14,SGD,2026-01-10T15:03:00,PENDING
560,10,18,10463.6,EUR,2026-01-10T10:31:00,COMPLETED
664,15,11,13799.75,USD,2026-01-12T11:24:00,COMPLETED
89,11,1,16999.03,SGD,2026-01-10T14:23:00,PENDING
610,3,1,16999.27,USD,2026-01-12T17:25:00,FAILED
1004,12,6,12957.65,USD,2026-01-12T14:48:00,COMPLETED
825,8,18,3222.45,SGD,2026-01-11T09:21:00,COMPLETED
82,9,3,9432.62,USD,2026-01-11T11:41:00,COMPLETED
506,4,1,4876.66,SGD,2026-01-12T15:11:00,COMPLETED
350,15,16,4601.36,CAD,2026-01-11T10:43:00,COMPLETED
803,11,13,12548.89,GBP,2026-01-12T17:24:00,COMPLETED
359,16,3,7254.44,JPY,2026-01-12T15:38:00,PENDING
18,11,4,5905.33,GBP,2026-01-11T08:46:00,FAILED
227,13,12,5110.32,USD,2026-01-11T09:22:00,COMPLETED
686,18,10,18183.02,SGD,2026-01-12T11:51:00,COMPLETED
64,7,17,9490.06,GBP,2026-01-12T09:18:00,COMPLETED
588,12,17,16066.19,SGD,2026-01-11T08:18:00,PENDING
527,1,2,10698.96,AUD,2026-01-10T13:48:00,COMPLETED
725,6,18,8061.07,AUD,2026-01-12T10:34:00,COMPLETED
342,2,3,8135.3,CAD,2026-01-12T15:03:00,PENDING
695,6,4,5678.19,GBP,2026-01-12T15:46:00,COMPLETED
603,3,10,13450.12,CHF,2026-01-10T11:46:00,COMPLETED
385,5,17,7799.84,GBP,2026-01-12T14:27:00,COMPLETED
1,4,1,14843.93,JPY,2026-01-10T10:47:00,COMPLETED
414,5,4,11812.0,CAD,2026-01-11T14:20:00,COMPLETED
835,2,1,14081.91,AUD,2026-01-10T12:55:00,COMPLETED
759,5,19,10850.01,JPY,2026-01-10T12:44:00,FAILED
772,17,2,3837.51,SGD,2026-01-11T12:49:00,COMPLETED
493,5,20,5194.83,EUR,2026-01-10T14:35:00,COMPLETED
234,13,11,19475.79,SGD,2026-01-12T15:23:00,COMPLETED
834,17,13,16960.35,CHF,2026-01-10T13:57:00,COMPLETED
357,8,19,10446.04,CAD,2026-01-10T10:17:00,COMPLETED
939,18,15,13557.41,EUR,2026-01-12T14:12:00,COMPLETED
625,9,6,10356.98,CAD,2026-01-12T17:40:00,COMPLETED
